Date,Open,High,Low,Close,Adj Close,Volume,Day
9/23/2013,79.32,79.410004,78.459999,78.830002,72.231834,30319400,0
9/24/2013,79,79.25,78.57,78.830002,72.231834,21871300,1
9/25/2013,78.889999,79,78.400002,78.559998,71.984421,22746400,2
9/26/2013,78.879997,79.360001,78.849998,79.169998,72.543335,22421700,3
9/27/2013,78.709999,79.209999,78.589996,79.07,72.451736,25151600,4
9/30/2013,78.25,79.089996,78,78.879997,72.277603,28031900,5
10/1/2013,78.889999,79.720001,78.849998,79.68,73.010666,33129700,6
10/2/2013,79.139999,79.760002,79.059998,79.650002,72.983192,25503800,7
10/3/2013,79.550003,79.720001,78.300003,78.720001,72.13102,42998200,8
10/4/2013,78.720001,79.510002,78.650002,79.400002,72.754089,22852700,9
10/7/2013,78.699997,79.349998,78.669998,78.739998,72.149353,20227100,10
10/8/2013,78.739998,78.809998,77.190002,77.220001,70.756569,43660700,11
10/9/2013,77.400002,77.440002,76.349998,76.980003,70.536659,64526700,12
10/10/2013,77.809998,78.790001,77.790001,78.610001,72.030228,48062700,13
10/11/2013,78.410004,79.290001,78.400002,79.230003,72.598312,25214100,14
10/14/2013,78.739998,79.790001,78.68,79.790001,73.111465,31471900,15
10/15/2013,79.730003,80.110001,79.379997,79.480003,72.8274,38684000,16
10/16/2013,79.849998,80.419998,79.790001,80.379997,73.652092,46735900,17
10/17/2013,80.019997,80.870003,79.949997,80.839996,74.073593,32193500,18
10/18/2013,81.580002,82.18,81.349998,82.150002,75.273941,39628200,19
10/21/2013,82.339996,82.540001,82.07,82.330002,75.438866,31176900,20
10/22/2013,82.650002,82.900002,81.93,82.449997,75.548813,43944800,21
10/23/2013,82.050003,82.199997,81.550003,81.949997,75.09066,38021300,22
10/24/2013,82,82.480003,81.879997,82.309998,75.42054,23155100,23
10/25/2013,83.080002,83.279999,82.5,82.900002,75.961159,35824500,24
10/28/2013,82.910004,83.050003,82.550003,82.919998,75.979469,28618400,25
10/29/2013,83.199997,83.260002,82.699997,83.059998,76.107735,36878100,26
10/30/2013,83.349998,83.489998,82.580002,82.980003,76.034439,33535500,27
10/31/2013,82.769997,83.300003,82.480003,82.790001,75.860359,31309900,28
11/1/2013,83.07,83.169998,82.400002,82.809998,75.878685,30867800,29
11/4/2013,83.059998,83.07,82.639999,82.93,75.988647,16834000,30
11/5/2013,82.610001,83.220001,82.370003,83.019997,76.071083,27975600,31
11/6/2013,83.370003,83.400002,82.730003,83,76.052765,25576800,32
11/7/2013,83.010002,83.129997,81.370003,81.440002,74.62336,52173200,33
11/8/2013,81.739998,82.559998,81.510002,82.540001,75.631271,31470500,34
11/11/2013,82.419998,82.639999,82.139999,82.410004,75.512161,24822900,35
11/12/2013,82.160004,82.660004,82.120003,82.540001,75.631271,20108500,36
11/13/2013,82,83.550003,82,83.540001,76.547577,31345900,37
11/14/2013,83.32,83.860001,83.139999,83.800003,76.78582,31101200,38
11/15/2013,83.82,83.959999,83.610001,83.959999,76.932434,20511300,39
11/18/2013,83.940002,84.110001,82.980003,83.139999,76.181068,31679600,40
11/19/2013,83.089996,83.489998,82.760002,82.900002,75.961159,25545300,41
11/20/2013,83.120003,83.43,82.459999,82.699997,75.777885,32177400,42
11/21/2013,83.050003,83.610001,82.980003,83.540001,76.547577,28125000,43
11/22/2013,83.68,84.019997,83.620003,83.989998,76.959923,25361300,44
11/25/2013,84.290001,84.379997,83.980003,84.190002,77.143204,21695100,45
11/26/2013,84.209999,84.839996,84.029999,84.629997,77.546341,26621000,46
11/27/2013,84.800003,85.239998,84.730003,85.220001,78.086975,21638100,47
11/29/2013,85.559998,85.839996,85.470001,85.730003,78.554276,16708900,48
12/2/2013,85.830002,85.959999,85.349998,85.480003,78.32518,26354600,49
12/3/2013,85.419998,85.639999,85.080002,85.410004,78.261055,37147000,50
12/4/2013,85.050003,85.769997,84.779999,85.489998,78.334358,37193200,51
12/5/2013,85.559998,85.660004,85.169998,85.379997,78.233566,39829300,52
12/6/2013,86.099998,86.18,85.589996,86,78.801682,36842900,53
12/9/2013,86.349998,86.529999,86.199997,86.349998,79.122375,22590000,54
12/10/2013,86.209999,86.449997,86.120003,86.290001,79.06739,26965900,55
12/11/2013,86.279999,86.400002,85.059998,85.18,78.050323,36830600,56
12/12/2013,85.209999,85.419998,84.900002,84.959999,77.848724,33662600,57
12/13/2013,85.360001,85.400002,84.709999,84.849998,77.747925,34072000,58
12/16/2013,85.269997,85.809998,85.209999,85.32,78.178566,24902500,59
12/17/2013,85.32,85.529999,84.989998,85.150002,78.022812,24454900,60
12/18/2013,85.25,86.220001,84.050003,86.139999,78.929962,68387200,61
12/19/2013,86,86.010002,85.519997,85.900002,78.710045,44964100,62
12/20/2013,85.790001,86.68,85.730003,86.5,79.511566,40475400,63
12/23/2013,87.209999,87.410004,86.949997,87.410004,80.348083,28181800,64
12/24/2013,87.43,87.510002,87.269997,87.449997,80.384834,13852500,65
12/26/2013,87.610001,87.809998,87.440002,87.739998,80.651382,15241100,66
12/27/2013,87.849998,87.900002,87.410004,87.519997,80.449188,15827400,67
12/30/2013,87.389999,87.510002,87.139999,87.389999,80.329704,18983700,68
12/31/2013,87.550003,87.959999,87.519997,87.959999,80.85363,24890500,69
1/2/2014,87.550003,87.580002,87.019997,87.269997,80.219368,29177500,70
1/3/2014,87.269997,87.349998,86.620003,86.639999,79.640289,35723700,71
1/6/2014,86.660004,86.760002,86,86.32,79.34613,32073100,72
1/7/2014,86.720001,87.25,86.559998,87.120003,80.081505,25860600,73
1/8/2014,87.139999,87.550003,86.949997,87.309998,80.256172,27197400,74
1/9/2014,87.629997,87.639999,86.720001,87.019997,79.989586,23674700,75
1/10/2014,87.230003,87.400002,86.580002,87.300003,80.246948,38008900,76
1/13/2014,87.18,87.480003,85.68,86.010002,79.061188,48842300,77
1/14/2014,86.300003,87.720001,86.300003,87.650002,80.568695,37178900,78
1/15/2014,88.029999,88.540001,87.940002,88.370003,81.230522,39835600,79
1/16/2014,88.300003,88.510002,88.160004,88.379997,81.239723,31630100,80
1/17/2014,88.110001,88.370003,87.669998,87.879997,80.780098,36895800,81
1/21/2014,88.440002,88.589996,87.809998,88.550003,81.395973,26412700,82
1/22/2014,88.779999,89,88.519997,88.779999,81.607422,29376900,83
1/23/2014,88.510002,88.519997,87.860001,88.480003,81.331642,35011900,84
1/24/2014,88.050003,88.18,86.709999,86.739998,79.732208,63974600,85
1/27/2014,86.739998,86.889999,85.25,85.900002,78.960068,63519300,86
1/28/2014,85.5,85.940002,85.309998,85.849998,78.914108,44378800,87
1/29/2014,85.110001,85.739998,84.760002,84.93,78.068413,51939300,88
1/30/2014,85.970001,86.800003,85.879997,86.5,79.511566,65833600,89
1/31/2014,85.540001,86.68,85.449997,86.269997,79.300171,45187000,90
2/3/2014,86.110001,86.5,84.07,84.290001,77.480133,65596900,91
2/4/2014,84.720001,85.25,84.459999,84.910004,78.050056,37675500,92
2/5/2014,84.629997,84.989998,83.739998,84.690002,77.847839,41721800,93
2/6/2014,84.940002,85.879997,84.919998,85.769997,78.840561,32308600,94
2/7/2014,86.25,87.360001,86,87.300003,80.246948,38359400,95
2/10/2014,87.269997,87.839996,87.209999,87.800003,80.706573,30205400,96
2/11/2014,87.989998,88.970001,87.889999,88.800003,81.625755,38635500,97
2/12/2014,88.980003,89.169998,88.699997,88.970001,81.782051,32507200,98
2/13/2014,88.32,89.699997,88.300003,89.629997,82.388725,40454500,99
2/14/2014,89.599998,90.010002,89.330002,89.809998,82.554176,33212400,100
2/18/2014,89.959999,90.419998,89.739998,90.25,82.958618,29546600,101
2/19/2014,90.080002,90.290001,89.449997,89.629997,82.388725,41749900,102
2/20/2014,89.690002,90.220001,89.309998,90.050003,82.774811,41814800,103
2/21/2014,90.339996,90.470001,89.82,89.93,82.664482,31192200,104
2/24/2014,90.139999,90.82,90.040001,90.410004,83.10569,31500400,105
2/25/2014,90.540001,90.720001,90.019997,90.309998,83.013794,26771700,106
2/26/2014,90.550003,90.839996,89.870003,90.230003,82.940224,42953700,107
2/27/2014,89.870003,90.529999,89.730003,90.440002,83.478363,28742400,108
2/28/2014,90.419998,90.959999,89.540001,90.339996,83.386055,48609800,109
3/3/2014,89.489998,89.910004,88.870003,89.669998,82.767639,38885700,110
3/4/2014,90.650002,90.980003,90.559998,90.809998,83.819885,33189000,111
3/5/2014,90.959999,91.220001,90.769997,91.059998,84.050636,27203300,112
3/6/2014,91.269997,91.339996,90.650002,90.980003,83.976814,24063900,113
3/7/2014,91.269997,91.360001,90.07,90.529999,83.561432,31167800,114
3/10/2014,90.480003,90.660004,90.029999,90.610001,83.635292,18131700,115
3/11/2014,90.830002,91.059998,89.949997,90.220001,83.275314,27484300,116
3/12/2014,89.809998,90.610001,89.480003,90.559998,83.589127,27977200,117
3/13/2014,90.900002,90.93,88.870003,89.279999,82.407661,48542000,118
3/14/2014,88.989998,89.379997,88.629997,88.669998,81.844612,38732300,119
3/17/2014,89.239998,89.910004,89.190002,89.449997,82.56456,28467200,120
3/18/2014,89.559998,90.639999,89.529999,90.529999,83.561432,31250200,121
3/19/2014,90.559998,90.660004,89.449997,90.040001,83.109131,40869400,122
3/20/2014,89.760002,90.559998,89.580002,90.290001,83.339935,31634500,123
3/21/2014,90.599998,90.650002,88.830002,89,82.337074,62754000,124
3/24/2014,89.32,89.389999,87.410004,88.220001,81.615463,77735300,125
3/25/2014,88.68,89.25,87.769997,88.510002,81.883789,41723300,126
3/26/2014,88.949997,89.150002,87.360001,87.370003,80.829094,40930400,127
3/27/2014,87.25,87.639999,86.400002,86.879997,80.375778,64784500,128
3/28/2014,87.160004,88.010002,86.809998,87.050003,80.533043,39895100,129
3/31/2014,87.730003,88.260002,87.620003,87.669998,81.106644,33924300,130
4/1/2014,88.099998,89.269997,87.709999,89.209999,82.531349,38683800,131
4/2/2014,89.589996,89.68,89.040001,89.440002,82.744141,34631600,132
4/3/2014,89.529999,89.68,88.220001,88.730003,82.087296,30319100,133
4/4/2014,89.32,89.410004,86.139999,86.370003,79.903969,131213200,134
4/7/2014,85.830002,86.629997,84.949997,85.550003,79.145348,83995800,135
4/8/2014,85.650002,86.459999,85.349998,86.339996,79.876213,51495700,136
4/9/2014,86.660004,87.870003,86.43,87.82,81.245392,45685200,137
4/10/2014,87.879997,87.879997,84.860001,85.099998,78.729065,73659600,138
4/11/2014,84.339996,85.440002,83.910004,84.110001,77.813164,93657400,139
4/14/2014,84.849998,85.220001,83.989998,84.769997,78.423767,46500700,140
4/15/2014,85.080002,85.540001,83.279999,85.050003,78.68277,84631500,141
4/16/2014,85.790001,86.18,85.089996,86.18,79.72821,46970900,142
4/17/2014,85.849998,86.629997,85.629997,86.199997,79.746689,53719500,143
4/21/2014,86.400002,86.839996,86,86.839996,80.338791,25947900,144
4/22/2014,87.139999,87.75,86.989998,87.529999,80.977119,38593400,145
4/23/2014,87.529999,87.559998,86.709999,86.760002,80.264771,34376700,146
4/24/2014,88.190002,88.209999,86.650002,87.589996,81.032623,48926300,147
4/25/2014,87.07,87.169998,85.980003,86.190002,79.737442,44334000,148
4/28/2014,86.599998,87.110001,85.110001,86.470001,79.996475,58623800,149
4/29/2014,86.730003,87.32,86.309998,87.160004,80.634834,36742700,150
4/30/2014,86.760002,87.480003,86.540001,87.389999,80.847572,38689400,151
5/1/2014,87.529999,88.150002,87.309998,87.650002,81.088158,37127200,152
5/2/2014,87.949997,88.110001,87.279999,87.489998,80.940109,40074200,153
5/5/2014,86.970001,87.970001,86.760002,87.949997,81.365677,27924400,154
5/6/2014,87.809998,87.860001,86.769997,86.809998,80.310989,33698500,155
5/7/2014,86.989998,87.080002,85.529999,86.559998,80.079727,67489100,156
5/8/2014,86.25,87.529999,86.050003,86.480003,80.00576,46556900,157
5/9/2014,86.43,86.860001,85.849998,86.800003,80.301796,35081500,158
5/12/2014,87.32,88.260002,87.239998,88.230003,81.62471,38951100,159
5/13/2014,88.309998,88.610001,88.120003,88.290001,81.680229,30311900,160
5/14/2014,88.019997,88.349998,87.620003,87.830002,81.254654,26483600,161
5/15/2014,87.809998,87.959999,86.580002,87.139999,80.61631,59680300,162
5/16/2014,87.239998,87.760002,86.639999,87.709999,81.143677,66804100,163
5/19/2014,87.449997,88.459999,87.300003,88.32,81.707977,32017000,164
5/20/2014,88.279999,88.599998,87.639999,88,81.411911,33716000,165
5/21/2014,88.160004,88.889999,88.110001,88.839996,82.189034,36837700,166
5/22/2014,88.940002,89.480003,88.800003,89.230003,82.549843,30617100,167
5/23/2014,89.32,89.900002,89.120003,89.879997,83.151184,22687300,168
5/27/2014,90.279999,91.019997,90.199997,91,84.187332,29725200,169
5/28/2014,90.970001,91.099998,90.650002,90.720001,83.928299,30468100,170
5/29/2014,91.040001,91.309998,90.860001,91.300003,84.46489,33036100,171
5/30/2014,91.32,91.449997,90.830002,91.309998,84.474152,29906400,172
6/2/2014,91.419998,91.440002,90.639999,91.220001,84.390869,30409900,173
6/3/2014,90.919998,91.330002,90.800003,91.18,84.353874,21774500,174
6/4/2014,90.949997,91.669998,90.809998,91.519997,84.668404,20118300,175
6/5/2014,91.599998,92.459999,91.290001,92.290001,85.380745,35583100,176
6/6/2014,92.629997,92.82,92.449997,92.82,85.871086,22680600,177
